Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-03,0.33767426013946533,0.34108510796628716,0.33767426013946533,0.33767426013946533,0,0.0,0
2000-01-04,0.33767426013946533,0.33767426013946533,0.33767426013946533,0.33767426013946533,0,0.0,0
2000-01-05,0.33767426013946533,0.33767426013946533,0.33767426013946533,0.33767426013946533,0,0.0,0
2000-01-06,0.33767426013946533,0.33767426013946533,0.33767426013946533,0.33767426013946533,0,0.0,0
2000-01-07,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,190000,0.0,0
2000-01-10,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-01-11,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-01-12,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-01-13,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-01-14,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-01-17,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-01-18,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-01-19,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-01-20,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-01-21,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-01-24,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-01-25,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-01-26,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-01-27,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-01-28,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-01-31,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-02-01,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-02-02,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-02-03,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-02-04,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-02-07,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-02-08,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-02-09,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-02-10,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-02-11,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-02-14,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-02-15,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-02-16,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-02-17,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-02-18,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-02-21,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-02-22,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-02-23,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-02-24,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-02-25,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-02-28,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-02-29,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-03-01,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-03-02,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-03-03,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-03-06,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-03-07,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-03-08,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-03-09,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-03-10,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-03-13,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-03-14,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-03-15,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-03-16,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-03-17,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-03-20,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-03-21,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-03-22,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-03-23,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-03-24,0.3410851061344147,0.3410851061344147,0.3410851061344147,0.3410851061344147,0,0.0,0
2000-03-27,0.28992241621017456,0.28992241621017456,0.28992241621017456,0.28992241621017456,190000,0.0,0
2000-03-28,0.28992241621017456,0.28992241621017456,0.28992241621017456,0.28992241621017456,0,0.0,0
2000-03-29,0.3240308165550232,0.3240308165550232,0.3240308165550232,0.3240308165550232,10000,0.0,0
2000-03-30,0.2796897888183594,0.2796897888183594,0.2796897888183594,0.2796897888183594,10000,0.0,0
2000-03-31,0.2796897888183594,0.2796897888183594,0.2796897888183594,0.2796897888183594,0,0.0,0
2000-04-03,0.2796897888183594,0.2796897888183594,0.2796897888183594,0.2796897888183594,0,0.0,0
2000-04-04,0.2796897888183594,0.2796897888183594,0.2796897888183594,0.2796897888183594,0,0.0,0
2000-04-05,0.2796897888183594,0.2796897888183594,0.2796897888183594,0.2796897888183594,0,0.0,0
2000-04-06,0.2796897888183594,0.2796897888183594,0.2796897888183594,0.2796897888183594,0,0.0,0
2000-04-07,0.2796897888183594,0.2796897888183594,0.2796897888183594,0.2796897888183594,0,0.0,0
2000-04-10,0.2796897888183594,0.2796897888183594,0.2796897888183594,0.2796897888183594,0,0.0,0
2000-04-11,0.2796897888183594,0.2796897888183594,0.2796897888183594,0.2796897888183594,0,0.0,0
2000-04-12,0.2796897888183594,0.2796897888183594,0.2796897888183594,0.2796897888183594,0,0.0,0
2000-04-13,0.2796897888183594,0.2796897888183594,0.2796897888183594,0.2796897888183594,0,0.0,0
2000-04-14,0.2796897888183594,0.2796897888183594,0.2796897888183594,0.2796897888183594,0,0.0,0
2000-04-17,0.2796897888183594,0.2796897888183594,0.2796897888183594,0.2796897888183594,0,0.0,0
2000-04-18,0.2796897888183594,0.2796897888183594,0.2796897888183594,0.2796897888183594,0,0.0,0
2000-04-19,0.2796897888183594,0.2796897888183594,0.2796897888183594,0.2796897888183594,0,0.0,0
2000-04-20,0.2796897888183594,0.2796897888183594,0.2796897888183594,0.2796897888183594,0,0.0,0
2000-04-21,0.2796897888183594,0.2796897888183594,0.2796897888183594,0.2796897888183594,0,0.0,0
2000-04-24,0.2796897888183594,0.2796897888183594,0.2796897888183594,0.2796897888183594,0,0.0,0
2000-04-25,0.2796897888183594,0.2796897888183594,0.2796897888183594,0.2796897888183594,0,0.0,0
2000-04-26,0.2796897888183594,0.2796897888183594,0.2796897888183594,0.2796897888183594,0,0.0,0
2000-04-27,0.2796897888183594,0.2796897888183594,0.2796897888183594,0.2796897888183594,0,0.0,0
2000-04-28,0.2796897888183594,0.2796897888183594,0.2796897888183594,0.2796897888183594,0,0.0,0
2000-05-01,0.2796897888183594,0.2796897888183594,0.2796897888183594,0.2796897888183594,0,0.0,0
2000-05-02,0.2796897888183594,0.2796897888183594,0.2796897888183594,0.2796897888183594,0,0.0,0
2000-05-03,0.2796897888183594,0.2796897888183594,0.2796897888183594,0.2796897888183594,0,0.0,0
2000-05-04,0.2796897888183594,0.2796897888183594,0.2796897888183594,0.2796897888183594,0,0.0,0
2000-05-05,0.2796897888183594,0.2796897888183594,0.2796897888183594,0.2796897888183594,0,0.0,0
2000-05-08,0.2796897888183594,0.2796897888183594,0.2796897888183594,0.2796897888183594,0,0.0,0
2000-05-09,0.2796897888183594,0.2796897888183594,0.2796897888183594,0.2796897888183594,0,0.0,0
2000-05-10,0.2796897888183594,0.2796897888183594,0.2796897888183594,0.2796897888183594,0,0.0,0
2000-05-11,0.2796897888183594,0.2796897888183594,0.2796897888183594,0.2796897888183594,0,0.0,0
2000-05-12,0.2796897888183594,0.2796897888183594,0.2796897888183594,0.2796897888183594,0,0.0,0
2000-05-15,0.2796897888183594,0.2796897888183594,0.2796897888183594,0.2796897888183594,0,0.0,0
2000-05-16,0.2796897888183594,0.2796897888183594,0.2796897888183594,0.2796897888183594,0,0.0,0
2000-05-17,0.2796897888183594,0.2796897888183594,0.2796897888183594,0.2796897888183594,0,0.0,0
2000-05-18,0.2796897888183594,0.2796897888183594,0.2796897888183594,0.2796897888183594,0,0.0,0
2000-05-19,0.2796897888183594,0.2796897888183594,0.2796897888183594,0.2796897888183594,0,0.0,0
2000-05-22,0.2796897888183594,0.2796897888183594,0.2796897888183594,0.2796897888183594,0,0.0,0
2000-05-23,0.2796897888183594,0.2796897888183594,0.2796897888183594,0.2796897888183594,0,0.0,0
2000-05-24,0.2796897888183594,0.2796897888183594,0.2796897888183594,0.2796897888183594,0,0.0,0
2000-05-25,0.2796897888183594,0.2796897888183594,0.2796897888183594,0.2796897888183594,0,0.0,0
2000-05-26,0.2796897888183594,0.2796897888183594,0.2796897888183594,0.2796897888183594,0,0.0,0
2000-05-29,0.2796897888183594,0.2796897888183594,0.2796897888183594,0.2796897888183594,0,0.0,0
2000-05-30,0.2796897888183594,0.2796897888183594,0.2796897888183594,0.2796897888183594,0,0.0,0
2000-05-31,0.2796897888183594,0.2796897888183594,0.2796897888183594,0.2796897888183594,0,0.0,0
2000-06-01,0.2796897888183594,0.2796897888183594,0.2796897888183594,0.2796897888183594,0,0.0,0
2000-06-02,0.2796897888183594,0.2796897888183594,0.2796897888183594,0.2796897888183594,0,0.0,0
2000-06-05,0.2796897888183594,0.2796897888183594,0.2796897888183594,0.2796897888183594,0,0.0,0
